node_id,cell_type,region,x,y,z,side,cell_class,predicted_nt,coordinate_field
100563,IN03A006,VNC,0.5180151343288221,0.5164115791599981,-0.18534425159656293,R,intrinsic neuron,acetylcholine,position
100643,IN07B046,VNC,0.29545503985580435,-1.0916869959755737,0.4584831486862346,R,intrinsic neuron,acetylcholine,position
100725,iii3 MN,VNC,-0.44491974454993244,-0.4886166229003838,0.6223130351010768,L,motor neuron,glutamate,position
100826,Tr extensor MN,motor,-0.3593968022126575,-0.9950059822552325,1.354736858461395,L,motor neuron,glutamate,position
100855,IN08A005,VNC,0.3761005018879065,0.20866261634321054,-0.6382817719906149,R,intrinsic neuron,gaba,position
100945,IN09A027,VNC,-0.6402194011529437,0.10636915953198564,-0.12187019283061672,L,intrinsic neuron,gaba,position
101025,nan,VNC,0.14812840872010816,1.923798498997778,-0.3229159221219137,R,ascending neuron,acetylcholine,position
101043,Acc. ti flexor MN,motor,-0.42915145205649735,1.65627204499899,-0.3835169445437171,L,motor neuron,glutamate,position
101053,IN13A023,VNC,0.42073278742017184,1.1738023835790978,-0.8083922494833506,R,intrinsic neuron,glutamate,position
101116,IN20A.22A005,VNC,0.43957456065385275,-1.205606227760772,-0.2963236322389173,R,intrinsic neuron,acetylcholine,position
101118,IN03A009,VNC,0.24701431079758224,-0.5080597293223736,0.3028046677129139,R,intrinsic neuron,acetylcholine,position
101119,IN16B018,VNC,0.6276582189971565,0.26144630731699736,-0.5438724614261075,R,intrinsic neuron,glutamate,position
101194,IN16B015,VNC,-0.7567444100874808,-1.4762061624998057,0.7238715291265907,L,intrinsic neuron,glutamate,position
101218,AN07B040,VNC,0.32064421896607986,0.04650309989589322,-0.1355672265643209,L,ascending neuron,acetylcholine,position
101219,IN12A051,VNC,-0.2630498624858213,-0.3320695495439502,0.38538775890734495,L,intrinsic neuron,acetylcholine,position
101336,IN11A035,VNC,-0.2640520844663362,-0.27347297108317664,0.4463228553226533,L,intrinsic neuron,glutamate,position
101414,IN03B017,VNC,-0.5846294886337151,0.3263234768556645,-0.34737013844647824,L,intrinsic neuron,gaba,position
101450,nan,VNC,0.19556691579781532,-1.6648243392327176,1.5452926643566356,R,intrinsic neuron,gaba,position
101736,ltm1-tibia MN,motor,-0.836788538931274,0.1789968457199683,-0.2736066006805786,L,motor neuron,glutamate,position
101892,IN13B013,VNC,-0.01890858803238187,-0.16436440480445016,-0.518750097114533,L,intrinsic neuron,gaba,position
102019,Acc. tr flexor MN,motor,0.534585204406669,-0.11285019500598226,-0.61850459157512,R,motor neuron,gaba,position
102062,AN06B059,VNC,0.11351834299299221,1.923798498997778,-0.33367310471277406,R,ascending neuron,glutamate,position
102123,MNhl29,VNC,-0.7580807060615007,-1.6380984197523192,0.6219121463088708,L,motor neuron,glutamate,position
102391,IN06A087,VNC,0.23779386857684479,-0.9607968053203226,0.752401448171916,R,intrinsic neuron,gaba,position
